session_id,packet_id,block_timestamp_ms,sample_global_index,sample_index_in_block,step_count_total,battery_level,status_flags,ax,ay,az,gx,gy,gz
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37113,0,0,0,46,,-2095,70,-352,72,-5,3
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37122,1,1,0,46,,-2090,55,-354,75,-4,3
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37132,2,2,0,46,,-2090,48,-346,76,-5,2
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37141,3,3,0,46,,-2090,43,-347,77,-7,0
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37151,4,4,0,46,,-2087,42,-338,79,-14,-2
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37161,5,5,0,46,,-2086,33,-342,82,-14,-5
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37170,6,6,0,46,,-2075,20,-338,67,-19,-9
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37180,7,7,0,46,,-2069,16,-343,51,-21,-15
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37189,8,8,0,46,,-2064,13,-340,45,-24,-17
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37199,9,9,0,46,,-2065,13,-339,40,-28,-19
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37209,10,10,0,46,,-2065,27,-336,27,-31,-20
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37218,11,11,0,46,,-2064,25,-338,16,-35,-25
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37228,12,12,0,46,,-2055,25,-334,3,-35,-28
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37238,13,13,0,46,,-2053,38,-341,-9,-41,-29
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37247,14,14,0,46,,-2062,49,-345,-21,-43,-30
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37257,15,15,0,46,,-2061,53,-347,-30,-45,-31
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37266,16,16,0,46,,-2068,56,-344,-40,-46,-34
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37276,17,17,0,46,,-2069,66,-343,-56,-48,-33
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37286,18,18,0,46,,-2070,69,-343,-67,-46,-33
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37295,19,19,0,46,,-2067,80,-343,-82,-46,-32
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37305,20,20,0,46,,-2071,81,-338,-94,-46,-31
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37314,21,21,0,46,,-2066,87,-346,-102,-46,-32
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37324,22,22,0,46,,-2064,90,-351,-109,-47,-29
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37334,23,23,0,46,,-2061,93,-351,-124,-49,-26
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37343,24,24,0,46,,-2060,96,-346,-131,-50,-27
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37353,25,25,0,46,,-2059,87,-352,-134,-49,-21
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37363,26,26,0,46,,-2062,89,-351,-140,-47,-23
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37372,27,27,0,46,,-2063,89,-359,-146,-48,-21
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37382,28,28,0,46,,-2061,97,-361,-148,-49,-22
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37391,29,29,0,46,,-2061,100,-361,-146,-50,-21
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37401,30,30,0,46,,-2066,101,-367,-144,-51,-23
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37411,31,31,0,46,,-2063,102,-375,-140,-52,-22
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37420,32,32,0,46,,-2066,121,-379,-132,-53,-23
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37430,33,33,0,46,,-2072,131,-387,-129,-51,-22
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37439,34,34,0,46,,-2072,128,-396,-119,-48,-24
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37449,35,35,0,46,,-2066,130,-392,-112,-50,-26
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37459,36,36,0,46,,-2066,124,-387,-101,-49,-25
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37468,37,37,0,46,,-2068,130,-395,-92,-46,-26
d3a39d6d-5234-4ec0-81d7-6f9694a23edb,1,37478,38,38,0,46,,-2069,128,-391,-79,-47,-25
