session_id,packet_id,block_timestamp_ms,sample_global_index,sample_index_in_block,step_count_total,battery_level,status_flags,ax,ay,az,gx,gy,gz
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144226,0,0,0,43,,-1696,67,254,-832,41,-1780
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144235,1,1,0,43,,-1727,83,254,-804,13,-1808
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144245,2,2,0,43,,-1784,86,262,-744,-43,-1864
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144254,3,3,0,43,,-1818,72,226,-687,-110,-1920
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144264,4,4,0,43,,-1920,85,197,-630,-200,-1968
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144274,5,5,0,43,,-1984,86,147,-568,-261,-1984
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144283,6,6,0,43,,-2044,93,100,-560,-314,-1981
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144293,7,7,0,43,,-2118,152,61,-574,-351,-1981
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144302,8,8,0,43,,-2196,511,-28,-571,-378,-1964
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144312,9,9,0,43,,-2274,393,-75,-575,-400,-1941
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144322,10,10,0,43,,-2293,467,-120,-575,-420,-1897
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144331,11,11,0,43,,-2302,499,-194,-590,-439,-1836
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144341,12,12,0,43,,-2314,538,-248,-640,-450,-1748
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144351,13,13,0,43,,-2325,589,-303,-710,-449,-1655
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144360,14,14,0,43,,-2303,690,-345,-792,-449,-1556
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144370,15,15,0,43,,-2264,731,-379,-868,-452,-1479
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144379,16,16,0,43,,-2244,755,-427,-926,-453,-1398
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144389,17,17,0,43,,-2211,813,-464,-940,-459,-1319
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144399,18,18,0,43,,-2184,825,-499,-929,-467,-1217
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144408,19,19,0,43,,-2159,848,-549,-909,-472,-1138
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144418,20,20,0,43,,-2153,871,-576,-887,-481,-1078
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144427,21,21,0,43,,-2168,843,-609,-860,-493,-1019
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144437,22,22,0,43,,-2221,835,-608,-839,-485,-961
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144447,23,23,0,43,,-2270,855,-600,-833,-470,-905
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144456,24,24,0,43,,-2302,847,-601,-813,-453,-837
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144466,25,25,0,43,,-2298,853,-580,-781,-434,-780
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144476,26,26,0,43,,-2268,859,-540,-737,-427,-716
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144485,27,27,0,43,,-2223,824,-486,-715,-432,-645
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144495,28,28,0,43,,-2251,765,-493,-699,-457,-575
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144504,29,29,0,43,,-2329,794,-492,-629,-474,-512
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144514,30,30,0,43,,-2396,858,-481,-518,-485,-404
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144524,31,31,0,43,,-2431,898,-473,-360,-478,-317
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144533,32,32,0,43,,-2426,922,-492,-149,-475,-229
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144543,33,33,0,43,,-2430,880,-500,2,-495,-157
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144552,34,34,0,43,,-2523,775,-506,112,-509,-76
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144562,35,35,0,43,,-2665,795,-545,193,-511,36
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144572,36,36,0,43,,-2847,877,-564,302,-487,142
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144581,37,37,0,43,,-2952,901,-547,440,-431,278
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144591,38,38,0,43,,-2977,864,-511,499,-363,432
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144601,39,39,0,43,,-2957,763,-486,520,-315,579
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144610,40,40,0,43,,-2899,607,-426,552,-275,732
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144620,41,41,0,43,,-2786,514,-366,592,-254,928
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144629,42,42,0,43,,-2633,428,-319,689,-245,1078
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144639,43,43,0,43,,-2503,345,-279,873,-253,1218
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144649,44,44,0,43,,-2431,247,-253,1032,-261,1349
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144658,45,45,0,43,,-2393,137,-214,1162,-251,1500
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144668,46,46,0,43,,-2363,83,-174,1263,-229,1574
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144677,47,47,0,43,,-2326,15,-141,1342,-205,1694
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144687,48,48,0,43,,-2313,-8,-131,1424,-177,1776
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144697,49,49,0,43,,-2338,23,-115,1497,-161,1838
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144706,50,50,0,43,,-2391,92,-113,1578,-139,1890
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,1,144716,51,51,0,43,,-2472,113,-106,1648,-96,1953
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144725,52,0,0,43,,-2520,142,-75,1674,-56,2004
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144734,53,1,0,43,,-2528,140,-44,1652,23,2048
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144744,54,2,0,43,,-2469,142,-19,1598,75,2087
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144753,55,3,0,43,,-2411,171,-12,1566,113,2128
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144763,56,4,0,43,,-2368,229,-14,1545,152,2172
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144773,57,5,0,43,,-2331,248,-18,1532,209,2212
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144782,58,6,0,43,,-2294,277,-16,1512,253,2245
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144792,59,7,0,43,,-2253,281,-20,1488,291,2263
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144801,60,8,0,43,,-2219,245,-28,1445,326,2279
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144811,61,9,0,43,,-2205,204,-39,1384,368,2283
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144821,62,10,0,43,,-2197,183,-45,1307,422,2271
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144830,63,11,0,43,,-2160,204,-39,1216,496,2240
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144840,64,12,0,43,,-2113,231,-35,1088,547,2192
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144850,65,13,0,43,,-2060,231,-18,997,603,2123
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144859,66,14,0,43,,-1990,250,-33,917,656,2041
0d827d4f-f68f-4b77-a85d-af4cd7a88f77,2,144869,67,15,0,43,,-1931,317,-29,846,688,1952
