session_id,packet_id,block_timestamp_ms,sample_global_index,sample_index_in_block,step_count_total,battery_level,status_flags,ax,ay,az,gx,gy,gz
cadc67a7-486b-47c2-a17e-6882c06dfbad,7121,5145350,28480,0,0,87,0,-1296,-735,1541,8,-37,-22
cadc67a7-486b-47c2-a17e-6882c06dfbad,7121,5145359,28481,1,0,87,0,-1293,-750,1542,14,-42,-10
cadc67a7-486b-47c2-a17e-6882c06dfbad,7121,5145369,28482,2,0,87,0,-1320,-758,1558,22,-54,-5
cadc67a7-486b-47c2-a17e-6882c06dfbad,7121,5145378,28483,3,0,87,0,-1335,-739,1557,13,-43,-18
cadc67a7-486b-47c2-a17e-6882c06dfbad,7122,5146082,28484,0,0,87,0,-1304,-742,1541,12,-62,-25
cadc67a7-486b-47c2-a17e-6882c06dfbad,7122,5146091,28485,1,0,87,0,-1308,-742,1551,13,-59,-21
cadc67a7-486b-47c2-a17e-6882c06dfbad,7122,5146101,28486,2,0,87,0,-1308,-743,1554,9,-54,-20
cadc67a7-486b-47c2-a17e-6882c06dfbad,7122,5146110,28487,3,0,87,0,-1311,-749,1549,12,-57,-16
cadc67a7-486b-47c2-a17e-6882c06dfbad,7123,5146764,28488,0,0,87,0,-1311,-747,1558,15,-60,-27
cadc67a7-486b-47c2-a17e-6882c06dfbad,7123,5146773,28489,1,0,87,0,-1302,-747,1550,13,-63,-25
cadc67a7-486b-47c2-a17e-6882c06dfbad,7123,5146783,28490,2,0,87,0,-1303,-748,1553,11,-59,-24
cadc67a7-486b-47c2-a17e-6882c06dfbad,7123,5146792,28491,3,0,87,0,-1308,-751,1553,12,-61,-22
cadc67a7-486b-47c2-a17e-6882c06dfbad,7124,5147447,28492,0,0,87,0,-1303,-749,1554,18,-55,-17
cadc67a7-486b-47c2-a17e-6882c06dfbad,7124,5147456,28493,1,0,87,0,-1307,-752,1556,23,-61,-20
cadc67a7-486b-47c2-a17e-6882c06dfbad,7124,5147466,28494,2,0,87,0,-1307,-744,1562,21,-61,-21
cadc67a7-486b-47c2-a17e-6882c06dfbad,7124,5147475,28495,3,0,87,0,-1304,-745,1556,18,-57,-21
cadc67a7-486b-47c2-a17e-6882c06dfbad,7125,5148129,28496,0,0,87,0,-1297,-736,1568,23,-60,-19
cadc67a7-486b-47c2-a17e-6882c06dfbad,7125,5148138,28497,1,0,87,0,-1299,-736,1568,23,-54,-24
cadc67a7-486b-47c2-a17e-6882c06dfbad,7125,5148148,28498,2,0,87,0,-1295,-741,1569,21,-54,-25
cadc67a7-486b-47c2-a17e-6882c06dfbad,7125,5148157,28499,3,0,87,0,-1293,-749,1571,22,-56,-23
cadc67a7-486b-47c2-a17e-6882c06dfbad,7126,5148812,28500,0,0,87,0,-1115,-717,1775,211,-17,-181
cadc67a7-486b-47c2-a17e-6882c06dfbad,7126,5148821,28501,1,0,87,0,-1103,-677,1752,145,-13,-132
