session_id,packet_id,block_timestamp_ms,sample_global_index,sample_index_in_block,step_count_total,battery_level,status_flags,ax,ay,az,gx,gy,gz
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,1,56079,0,0,0,87,0,33,-36,2145,18,-55,-26
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,1,56088,1,1,0,87,0,34,-30,2143,19,-57,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,1,56098,2,2,0,87,0,32,-33,2159,18,-55,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,1,56107,3,3,0,87,0,34,-33,2156,19,-56,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,2,56649,4,0,0,87,0,34,-28,2153,17,-54,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,2,56658,5,1,0,87,0,36,-34,2150,17,-55,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,2,56668,6,2,0,87,0,35,-30,2147,17,-53,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,2,56677,7,3,0,87,0,34,-34,2150,17,-54,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,3,57332,8,0,0,87,0,32,-28,2150,17,-56,-26
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,3,57341,9,1,0,87,0,39,-33,2152,17,-56,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,3,57351,10,2,0,87,0,37,-34,2151,18,-55,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,3,57360,11,3,0,87,0,39,-33,2143,17,-54,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,4,58014,12,0,0,87,0,38,-35,2146,17,-56,-27
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,4,58023,13,1,0,87,0,39,-34,2155,19,-54,-26
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,4,58033,14,2,0,87,0,34,-34,2147,16,-54,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,4,58042,15,3,0,87,0,37,-34,2152,18,-53,-26
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,5,58697,16,0,0,87,0,34,-30,2150,18,-54,-26
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,5,58706,17,1,0,87,0,38,-31,2154,16,-56,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,5,58716,18,2,0,87,0,41,-31,2153,17,-54,-24
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,5,58725,19,3,0,87,0,34,-29,2146,17,-55,-23
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,6,59378,20,0,0,87,0,33,-33,2145,17,-54,-26
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,6,59387,21,1,0,87,0,37,-34,2150,16,-54,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,6,59397,22,2,0,87,0,41,-36,2151,17,-54,-26
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,6,59406,23,3,0,87,0,36,-35,2147,17,-54,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,7,60061,24,0,0,87,0,41,-37,2146,18,-55,-24
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,7,60070,25,1,0,87,0,33,-36,2143,17,-55,-26
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,7,60080,26,2,0,87,0,37,-31,2147,17,-54,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,7,60089,27,3,0,87,0,36,-30,2152,18,-56,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,8,60744,28,0,0,87,0,45,-35,2149,17,-55,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,8,60753,29,1,0,87,0,38,-30,2153,19,-54,-27
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,8,60763,30,2,0,87,0,36,-33,2148,16,-53,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,8,60772,31,3,0,87,0,36,-32,2154,16,-55,-28
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,9,61426,32,0,0,87,0,37,-31,2150,16,-53,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,9,61435,33,1,0,87,0,35,-34,2155,17,-55,-26
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,9,61445,34,2,0,87,0,38,-33,2153,18,-54,-25
d3d2516d-33bb-48a0-8790-6a2eed5cb0d9,9,61454,35,3,0,87,0,39,-35,2152,17,-54,-25
