session_id,packet_id,block_timestamp_ms,sample_global_index,sample_index_in_block,step_count_total,battery_level,status_flags,ax,ay,az,gx,gy,gz
046190d7-23f2-437e-a207-7dcc14edfff3,1,125544,0,0,0,87,,-93,-55,2136,18,-53,-28
046190d7-23f2-437e-a207-7dcc14edfff3,1,125553,1,1,0,87,,-91,-56,2141,17,-53,-28
046190d7-23f2-437e-a207-7dcc14edfff3,1,125563,2,2,0,87,,-90,-50,2139,18,-53,-30
046190d7-23f2-437e-a207-7dcc14edfff3,1,125572,3,3,0,87,,-93,-39,2138,20,-40,-37
046190d7-23f2-437e-a207-7dcc14edfff3,1,125582,4,4,0,87,,-84,-61,2129,18,-55,-27
046190d7-23f2-437e-a207-7dcc14edfff3,1,125592,5,5,0,87,,-89,-46,2134,18,-55,-27
046190d7-23f2-437e-a207-7dcc14edfff3,1,125601,6,6,0,87,,-95,-50,2139,18,-54,-26
046190d7-23f2-437e-a207-7dcc14edfff3,1,125611,7,7,0,87,,-89,-51,2134,17,-55,-27
046190d7-23f2-437e-a207-7dcc14edfff3,1,125620,8,8,0,87,,-95,-41,2138,18,-55,-27
046190d7-23f2-437e-a207-7dcc14edfff3,1,125630,9,9,0,87,,-91,-47,2134,18,-54,-27
046190d7-23f2-437e-a207-7dcc14edfff3,1,125640,10,10,0,87,,-90,-47,2129,19,-52,-29
046190d7-23f2-437e-a207-7dcc14edfff3,1,125649,11,11,0,87,,-96,-43,2136,19,-49,-29
046190d7-23f2-437e-a207-7dcc14edfff3,1,125659,12,12,0,87,,-96,-47,2136,19,-48,-33
046190d7-23f2-437e-a207-7dcc14edfff3,1,125669,13,13,0,87,,-92,-58,2132,19,-50,-32
046190d7-23f2-437e-a207-7dcc14edfff3,1,125678,14,14,0,87,,-88,-52,2134,17,-52,-27
046190d7-23f2-437e-a207-7dcc14edfff3,1,125688,15,15,0,87,,-90,-48,2136,18,-53,-26
046190d7-23f2-437e-a207-7dcc14edfff3,1,125697,16,16,0,87,,-87,-49,2133,17,-55,-26
046190d7-23f2-437e-a207-7dcc14edfff3,1,125707,17,17,0,87,,-91,-54,2133,18,-55,-26
046190d7-23f2-437e-a207-7dcc14edfff3,1,125717,18,18,0,87,,-92,-55,2133,17,-54,-25
046190d7-23f2-437e-a207-7dcc14edfff3,1,125726,19,19,0,87,,-90,-46,2136,17,-54,-26
046190d7-23f2-437e-a207-7dcc14edfff3,1,125736,20,20,0,87,,-93,-51,2135,18,-55,-25
046190d7-23f2-437e-a207-7dcc14edfff3,1,125745,21,21,0,87,,-91,-48,2132,17,-56,-27
046190d7-23f2-437e-a207-7dcc14edfff3,1,125755,22,22,0,87,,-87,-50,2137,18,-57,-27
046190d7-23f2-437e-a207-7dcc14edfff3,1,125765,23,23,0,87,,-89,-51,2134,18,-57,-28
