session_id,packet_id,block_timestamp_ms,sample_global_index,sample_index_in_block,step_count_total,battery_level,status_flags,ax,ay,az,gx,gy,gz
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61215,0,0,0,87,,-48,-95,2125,20,-55,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61224,1,1,0,87,,-51,-74,2126,18,-53,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61234,2,2,0,87,,-54,-73,2140,19,-52,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61243,3,3,0,87,,-58,-67,2129,19,-53,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61253,4,4,0,87,,-60,-70,2136,20,-52,-20
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61263,5,5,0,87,,-52,-63,2123,17,-54,-21
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61272,6,6,0,87,,-57,-69,2133,17,-52,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61282,7,7,0,87,,-58,-71,2137,17,-56,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61291,8,8,0,87,,-50,-77,2134,18,-54,-20
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61301,9,9,0,87,,-50,-78,2129,18,-55,-21
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61311,10,10,0,87,,-56,-79,2135,20,-55,-21
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61320,11,11,0,87,,-58,-78,2140,21,-56,-21
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61330,12,12,0,87,,-59,-77,2128,17,-57,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61340,13,13,0,87,,-56,-70,2131,18,-57,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61349,14,14,0,87,,-62,-70,2134,18,-58,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61359,15,15,0,87,,-53,-78,2133,18,-58,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61368,16,16,0,87,,-63,-75,2123,16,-80,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61378,17,17,0,87,,-42,-73,2147,18,-76,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61388,18,18,0,87,,-53,-61,2116,17,-63,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61397,19,19,0,87,,-58,-59,2129,17,-57,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61407,20,20,0,87,,-54,-53,2126,19,-58,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61416,21,21,0,87,,-53,-58,2133,16,-63,-26
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61426,22,22,0,87,,-55,-62,2130,17,-59,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61436,23,23,0,87,,-47,-64,2135,17,-55,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61445,24,24,0,87,,-51,-73,2139,16,-60,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,1,61455,25,25,0,87,,-50,-80,2127,18,-54,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61464,26,0,0,87,,-58,-77,2135,18,-54,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61473,27,1,0,87,,-54,-79,2132,17,-54,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61483,28,2,0,87,,-51,-81,2133,18,-53,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61492,29,3,0,87,,-49,-79,2142,19,-54,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61502,30,4,0,87,,-52,-66,2132,19,-53,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61512,31,5,0,87,,-56,-68,2136,18,-52,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61521,32,6,0,87,,-55,-65,2132,18,-53,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61531,33,7,0,87,,-59,-63,2133,19,-49,-21
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61540,34,8,0,87,,-55,-67,2132,19,-52,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61550,35,9,0,87,,-53,-72,2133,19,-54,-26
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61560,36,10,0,87,,-57,-77,2135,18,-53,-26
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61569,37,11,0,87,,-46,-76,2136,18,-54,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61579,38,12,0,87,,-52,-80,2134,19,-53,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61589,39,13,0,87,,-50,-74,2127,19,-56,-26
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61598,40,14,0,87,,-53,-75,2131,18,-55,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61608,41,15,0,87,,-58,-76,2130,18,-54,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61617,42,16,0,87,,-56,-71,2127,20,-55,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61627,43,17,0,87,,-53,-65,2127,18,-55,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61637,44,18,0,87,,-53,-67,2128,17,-55,-26
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61646,45,19,0,87,,-53,-69,2132,16,-57,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61656,46,20,0,87,,-54,-67,2128,18,-57,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61665,47,21,0,87,,-55,-67,2131,17,-58,-26
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61675,48,22,0,87,,-56,-71,2132,15,-61,-26
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61685,49,23,0,87,,-65,-74,2127,15,-73,-15
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61694,50,24,0,87,,-96,-89,2120,13,-74,54
d4d5b2c0-c217-4196-b59b-e920f8b5579a,2,61704,51,25,0,87,,-50,-58,2140,16,-80,62
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61714,52,0,0,87,,-30,-65,2134,17,-80,27
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61723,53,1,0,87,,-31,-72,2124,16,-73,-2
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61733,54,2,0,87,,-35,-64,2136,17,-61,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61742,55,3,0,87,,-53,-69,2132,18,-58,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61752,56,4,0,87,,-52,-69,2122,19,-59,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61762,57,5,0,87,,-46,-70,2132,18,-59,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61771,58,6,0,87,,-51,-69,2131,20,-57,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61781,59,7,0,87,,-51,-77,2130,19,-55,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61790,60,8,0,87,,-53,-68,2139,19,-56,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61800,61,9,0,87,,-49,-71,2127,17,-55,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61810,62,10,0,87,,-52,-79,2123,19,-53,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61819,63,11,0,87,,-54,-71,2128,20,-55,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61829,64,12,0,87,,-49,-72,2137,17,-54,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61839,65,13,0,87,,-50,-72,2131,17,-53,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61848,66,14,0,87,,-47,-70,2130,19,-54,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61858,67,15,0,87,,-48,-73,2131,18,-54,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61867,68,16,0,87,,-52,-74,2124,19,-54,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61877,69,17,0,87,,-49,-69,2125,19,-53,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61887,70,18,0,87,,-54,-76,2132,18,-56,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61896,71,19,0,87,,-50,-79,2125,19,-55,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61906,72,20,0,87,,-49,-76,2132,20,-56,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61915,73,21,0,87,,-48,-78,2133,18,-56,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61925,74,22,0,87,,-50,-79,2137,18,-57,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61935,75,23,0,87,,-51,-69,2137,18,-57,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61944,76,24,0,87,,-54,-60,2132,18,-57,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,3,61954,77,25,0,87,,-56,-56,2119,17,-62,-26
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,61964,78,0,0,87,,-59,-56,2124,16,-66,-26
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,61973,79,1,0,87,,-72,-70,2127,20,-61,-1
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,61983,80,2,0,87,,-76,-74,2129,15,-71,38
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,61992,81,3,0,87,,-70,-77,2131,11,-76,71
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62002,82,4,0,87,,-54,-76,2127,14,-73,74
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62012,83,5,0,87,,-36,-69,2135,15,-77,52
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62021,84,6,0,87,,-34,-93,2134,16,-70,38
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62031,85,7,0,87,,-45,-84,2126,16,-66,27
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62040,86,8,0,87,,-41,-91,2133,18,-66,13
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62050,87,9,0,87,,-26,-78,2131,17,-64,-5
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62060,88,10,0,87,,-40,-71,2133,17,-58,-19
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62069,89,11,0,87,,-48,-62,2136,17,-55,-20
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62079,90,12,0,87,,-44,-53,2121,18,-56,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62089,91,13,0,87,,-47,-58,2129,17,-55,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62098,92,14,0,87,,-47,-58,2123,17,-56,-26
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62108,93,15,0,87,,-47,-70,2128,18,-54,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62117,94,16,0,87,,-48,-70,2125,18,-54,-24
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62127,95,17,0,87,,-50,-80,2128,19,-55,-25
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62137,96,18,0,87,,-49,-85,2137,18,-54,-23
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62146,97,19,0,87,,-46,-88,2143,18,-54,-22
d4d5b2c0-c217-4196-b59b-e920f8b5579a,4,62156,98,20,0,87,,-43,-79,2125,18,-53,-23
